Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Road lengths (miles) by road type and region and country in Great Britain, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,Minor roads,,,,,,,,,,All roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,of which,,,of which,,,of which,,All major roads,,,of which,,,,of which,,,All minor roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Motorways1,Trunk,Principal,Rural 'A' 1,Trunk,Principal,Urban 'A' 1,Trunk,Principal,,,Minor rural1,Rural 'B',Rural 'C',Rural 'U',Minor urban1,Urban 'B',Urban 'C',Urban 'U',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Total length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,,245,245,0,340,283,57,146,31,115,731,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Britain,,"2,188","2,163",25,"3,128","1,983","1,145","1,807",162,"1,645","7,124",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Use controls at top of sheet to expand/collapse selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3180,,,,,,,,,,,,,,,,,,,,,,,Source: Department for Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: road.length@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,,,,,,,,,,,Last updated: 28 June 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methodology note,,,,,,,,,,,,,,,,,,,,,,,Next update: June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
