Department for Transport statistics ,,,,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table RFS0108,,,,,,,,,,,,,,,,,,
Goods lifted1 and goods moved2 by mode of working: annual 1990-2010 and quarterly 2004-2011; by GB HGVs in the UK,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Million tonnes,,,,,,Billion tonne kilometres,,,,,,,
,Goods lifted1,,,,,,Goods moved2,,,,,,,,,,,
Year,Mainly public haulage,% of total,Mainly own account,% of total,All modes,,Mainly public haulage,% of total,Mainly own account,% of total,All modes,,,,,,,
1990,978,59,667,41,"1,645",,95,73,36,28,131,,,,,,,
1991,862,57,643,43,"1,505",,86,69,39,31,125,,,,,,,
1992,843,58,620,42,"1,463",,86,71,35,29,121,,,,,,,
1993,911,60,612,40,"1,523",,93,72,35,28,129,,,,,,,
1994,980,61,618,39,"1,597",,101,73,37,27,138,,,,,,,
1995 ,987,61,622,39,"1,609",,107,74,37,26,144,,,,,,,
1996 ,"1,011",62,618,38,"1,628",,109,74,38,26,147,,,,,,,
1997 ,"1,044",64,599,36,"1,643",,112,75,37,25,150,,,,,,,,,,,,,,
1998 ,"1,041",64,589,36,"1,630",,114,75,38,25,152,,,,,,,,,,,,,,
1999 ,991,64,576,36,"1,567",,111,75,38,25,149,,,,,,,,,,,,,,
2000 ,"1,038",65,556,35,"1,593",,113,75,37,25,150,,,,,,,,,,,,,,
2001 ,"1,052",67,529,33,"1,581",,115,77,35,23,149,,,,,,,,,,,,,,
2002 ,"1,019",63,608,37,"1,627",,111,74,39,26,150,,,,,,,,,,,,,,
2003 ,"1,053",64,590,36,"1,643",,114,75,37,25,152,,,,,,,,,,,,,,
2004 ,"1,101",63,643,37,"1,744",,111,73,41,27,152,,,,,,,,,,,,,,
2005 ,"1,079",62,667,38,"1,746",,110,72,43,28,153,,,,,,,,,,,,,,
2006 ,"1,104",62,671,38,"1,776",,110,72,43,28,152,,,,,,,,,,,,,,
2007 ,"1,116",61,706,39,"1,822",,113,72,45,28,157,,,,,,,,,,,,,,
2008 ,948,57,720,43,"1,668",,99,68,47,32,146,,,,,,,,,,,,,,
2009 ,690,51,666,49,"1,356",,77,62,48,38,125,,,,,,,,,,,,,,
2010 ,800,54,689,46,"1,489",,89,64,50,36,139,,,,,,,,,,,,,,
2011 ,.,.,.,.,.,,.,.,.,.,.,,,,,,,,,,,,,,
Percentage change between,,,,,,,,,,,,,,,,,,,,,,,,,
1990 - 2010,-18,,3,,-10,,-6,,39,,6,,,,,,,,,,,,,,
2000 - 2010,-23,,24,,-7,,-21,,33,,-8,,,,,,,,,,,,,,
2009 - 2010,16,,3,,10,,15,,5,,11,,,,,,,,,,,,,,
2004 Q1,268,63,158,37,426,,28,73,10,27,38,,,,,,,,,,,,,,
2004 Q2,291,64,163,36,455,,28,74,10,26,39,,,,,,,,,,,,,,
2004 Q3,270,62,164,38,434,,28,72,10,28,38,,,,,,,,,,,,,,
2004 Q4,272,63,157,37,429,,27,72,10,28,38,,,,,,,,,,,,,,
2005 Q1,257,62,155,38,412,,27,72,10,28,37,,,,,,,,,,,,,,
2005 Q2,284,62,177,38,461,,28,71,11,29,40,,,,,,,,,,,,,,
2005 Q3,272,61,170,39,442,,28,72,11,28,39,,,,,,,,,,,,,,
2005 Q4,267,62,164,38,431,,26,72,10,28,37,,,,,,,,,,,,,,
2006 Q1,264,61,167,39,431,,26,71,11,29,37,,,,,,,,,,,,,,
2006 Q2,271,63,160,37,431,,28,74,10,26,38,,,,,,,,,,,,,,
2006 Q3,287,61,184,39,472,,28,71,11,29,39,,,,,,,,,,,,,,
2006 Q4,282,64,160,36,442,,28,72,11,28,39,,,,,,,,,,,,,,
2007 Q1,260,60,170,40,430,,27,72,11,28,38,,,,,,,,,,,,,,
2007 Q2,285,62,172,38,456,,29,73,11,27,40,,,,,,,,,,,,,,
2007 Q3,281,60,186,40,467,,27,70,12,30,39,,,,,,,,,,,,,,
2007 Q4,290,62,179,38,469,,29,72,11,28,40,,,,,,,,,,,,,,
2008 Q1,261,58,187,42,448,,27,71,11,29,38,,,,,,,,,,,,,,
2008 Q2,248,60,165,40,413,,26,71,11,29,37,,,,,,,,,,,,,,
2008 Q3,232,56,183,44,415,,23,64,13,36,36,,,,,,,,,,,,,,
2008 Q4,207,53,185,47,391,,22,65,12,35,34,,,,,,,,,,,,,,
2009 Q1,157,46,183,54,340,,19,60,12,40,31,,,,,,,,,,,,,,
2009 Q2,181,54,153,46,334,,20,63,12,37,32,,,,,,,,,,,,,,
2009 Q3,188,53,168,47,356,,20,62,12,38,32,,,,,,,,,,,,,,
2009 Q4,163,50,163,50,326,,19,62,11,38,30,,,,,,,,,,,,,,
2010 Q1,195,55,160,45,355,,23,67,12,33,35,,,,,,,,,,,,,,
2010 Q2,199,52,187,48,386,,21,62,13,38,34,,,,,,,,,,,,,,
2010 Q3,207,53,186,47,393,,24,64,13,36,37,,,,,,,,,,,,,,
2010 Q4,199,56,157,44,355,,21,62,13,38,33,,,,,,,,,,,,,,
2011 Q1 p,192,47,216,53,408,,20,56,16,44,36,,,,,,,,,,,,,,
Percentage change between,,,,,,,,,,,,,,,,,,
Q1 2010 - Q1 2011,-1,-,35,-,15,,-11,-,38,-,5,,,,,,,
,,,,,,,,,,,,,,,,,,
1. Weight of goods transported,,,,,,,,,,,,,,,,,,
2. Weight of goods multiplied by distance transported,,,,,,,,,,,,,,,,,,
p Provisional,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,"Source: Continuing Survey of Road Goods Transport, DfT",,,,,,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,Last updated: November 2012,,,,,,,
,,,,,,,,,,,Next update: November 2013,,,,,,,
,,,,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,



,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
