Department for Transport statistics ,,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table RFS0202,,,,,,,,,,,,,,,,
"International road haulage by UK-registered vehicles: goods lifted2 by country of unloading, 2000-2010",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Thousand tonnes loaded in the UK,,,,,
,Goods loaded in the UK1,,,,,,,,,,,,,,,
Country of unloading,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,
Austria, 66 , 27 , 26 , 35 , 13 , 9 , 13 , 8 , * , * , * ,,,,,
Belgium, 926 , 827 , 686 , 747 , 753 , 771 , 760 , 856 , 903 , 754 , 975 ,,,,,
Denmark, 34 , 25 , 18 , 13 , 9 , * , * , * , * , * , * ,,,,,
Finland, * , * , 1 , * , * , * , * , * , * , * , * ,,,,,
France," 1,979 "," 1,952 "," 2,066 "," 1,916 "," 1,618 "," 1,683 "," 1,723 "," 1,748 "," 1,440 "," 1,281 "," 1,566 ",,,,,
Germany," 1,396 "," 1,191 "," 1,032 "," 1,055 ", 721 , 624 , 586 , 604 , 535 , 523 , 636 ,,,,,
Greece, 50 , 55 , 61 , 63 , 24 , 27 , * , * , * , * , * ,,,,,
Ireland, 132 , 266 , 259 , 203 , 500 , 668 , 648 , 696 , 829 , 747 , 657 ,,,,,
Italy, 897 , 802 , 619 , 588 , 505 , 299 , 307 , 263 , 230 , 218 , 240 ,,,,,
Luxembourg, 53 , 45 , 49 , 38 , 93 , 97 , 61 , 54 , 41 , 29 , 45 ,,,,,
Netherlands, 629 , 536 , 576 , 657 , 628 , 520 , 515 , 494 , 683 , 511 , 515 ,,,,,
Portugal, 61 , 29 , 26 , 23 , 27 , 17 , 14 , * , * , 13 , 20 ,,,,,
Spain, 535 , 439 , 381 , 393 , 345 , 316 , 336 , 335 , 304 , 215 , 130 ,,,,,
Sweden, 14 , 8 , 6 , 8 , * , * , * , * , 39 , * , * ,,,,,
EU15 (excl UK)," 6,772 "," 6,202 "," 5,805 "," 5,739 "," 5,241 "," 5,038 "," 5,011 "," 5,112 "," 5,029 "," 4,322 "," 4,805 ",,,,,
Norway, * , 2 , 4 , * , * , * , * , * , * , * , * ,,,,,
Switzerland, 162 , 124 , 215 , 225 , 112 , 69 , 61 , 52 , 59 , 46 , 58 ,,,,,
Other Countries, 129 , 134 , 78 , 70 , 116 , 62 , 139 , 87 , 57 , 69 , 74 ,,,,,
Total," 7,064 "," 6,463 "," 6,101 "," 6,035 "," 5,470 "," 5,168 "," 5,212 "," 5,252 "," 5,154 "," 4,437 "," 4,936 ",,,,,
,,,,,,,,,,,,,,,,
"1. Excludes vehicles travelling between Northern Ireland and the Republic of Ireland only, i.e. where the whole journey is confined to the island of Ireland.",,,,,,,,,,,,,,,,
2. Weight of goods transported,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
An asterisk '*' means the sample size was too small for a reliable estimate.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,"Source: International Road Haulage Survey, DfT, and",,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,Continuing Survey of Road Goods Transport Northern Ireland,,,
,,,,,,,,,,,Last updated: October 2011,,,
,,,,,,,,,,,Next update: October 2012,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,





,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
