Department for Transport statistics ,,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table RFS0204,,,,,,,,,,,,,,,,
"International road haulage by UK-registered vehicles: goods moved2 by country of unloading, 2000-2010",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Million tonne kilometres loaded in the UK,,,,,
,Goods loaded in the UK1,,,,,,,,,,,,,,,
Country of unloading,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,
Austria, 109 , 43 , 45 , 52 , 23 , 13 , 21 , 13 , * , * , * ,,,,,
Belgium, 472 , 395 , 347 , 366 , 364 , 368 , 380 , 407 , 403 , 349 , 465 ,,,,,
Denmark, 38 , 28 , 22 , 14 , 12 , * , * , * , * , * , * ,,,,,
Finland, * , * , 3 , * , * , * , * , * , * , * , * ,,,,,
France," 1,537 "," 1,466 "," 1,559 "," 1,394 "," 1,124 "," 1,105 "," 1,114 "," 1,192 ", 988 , 832 ," 1,037 ",,,,,
Germany," 1,318 "," 1,130 ", 967 ," 1,007 ", 644 , 554 , 529 , 546 , 479 , 457 , 526 ,,,,,
Greece, 159 , 182 , 204 , 194 , 78 , 86 , * , * , * , * , * ,,,,,
Ireland, 57 , 103 , 94 , 75 , 179 , 243 , 231 , 256 , 317 , 236 , 249 ,,,,,
Italy," 1,451 "," 1,268 "," 1,017 ", 961 , 800 , 458 , 468 , 424 , 362 , 347 , 383 ,,,,,
Luxembourg, 33 , 28 , 32 , 22 , 55 , 57 , 36 , 32 , 26 , 18 , 26 ,,,,,
Netherlands, 385 , 298 , 301 , 351 , 320 , 257 , 286 , 283 , 394 , 287 , 270 ,,,,,
Portugal, 132 , 63 , 59 , 51 , 61 , 40 , 31 , * , * , 30 , 46 ,,,,,
Spain, 997 , 807 , 700 , 734 , 636 , 587 , 625 , 613 , 536 , 380 , 218 ,,,,,
Sweden, 18 , 10 , 7 , 9 , * , * , * , * , 50 , * , * ,,,,,
EU15 (excl UK)," 6,707 "," 5,820 "," 5,356 "," 5,230 "," 4,307 "," 3,772 "," 3,818 "," 3,859 "," 3,597 "," 2,971 "," 3,249 ",,,,,
Norway, * , 3 , 4 , * , * , * , * , * , * , * , * ,,,,,
Switzerland, 199 , 148 , 257 , 271 , 139 , 84 , 76 , 63 , 70 , 55 , 66 ,,,,,
Other Countries, 284 , 308 , 190 , 169 , 262 , 136 , 316 , 207 , 111 , 154 , 157 ,,,,,
Total," 7,190 "," 6,280 "," 5,808 "," 5,670 "," 4,709 "," 3,992 "," 4,212 "," 4,129 "," 3,791 "," 3,180 "," 3,471 ",,,,,
,,,,,,,,,,,,,,,,
"1. Excludes vehicles travelling between Northern Ireland and the Republic of Ireland only, i.e. where the whole journey is confined to the island of Ireland.",,,,,,,,,,,,,,,,
2. Weight of goods multiplied by distance transported,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
An asterisk '*' means the sample size was too small for a reliable estimate.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,Source: International Road Haulage Survey and,,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,"Continuing Survey of Road Goods Transport Northern Ireland, DfT",,,
Notes & definitions,,,,,,,,,,,Last updated: October 2011,,,
,,,,,,,,,,,Next update: October 2012,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,





,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
