Department for Transport statistics ,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table RFS0105,,,,,,,,,,,,,,,
Average length of haul by type of vehicle: annual 1990-2010 and quarterly 2004-2011; by GB HGVs in the UK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,Kilometres,,,,,
,Rigids,,,,,,Articulated vehicles,,,,,,,,
Year,Over 3.5t to 7.5t,Over 7.5t to 17t,Over 17t to 25t,Over 25t,All Rigids,,Over 3.5t to 33t,Over 33t,All artics,All vehicles,,,,,
1990,57,58,29,38,43,,113,135,129,79,,,,,
1991,60,61,30,39,45,,113,140,133,83,,,,,
1992,56,62,30,38,44,,118,135,132,83,,,,,
1993,55,59,31,37,44,,115,140,135,84,,,,,
1994,58,64,30,37,45,,119,137,133,86,,,,,
1995 ,57,65,34,36,45,,115,142,137,89,,,,,
1996 ,59,65,40,36,47,,115,136,133,90,,,,,
1997 ,63,66,39,38,48,,116,134,131,91,,,,,,,,,,
1998 ,61,68,40,37,47,,115,138,135,93,,,,,,,,,,
1999 ,60,76,50,37,50,,124,138,136,95,,,,,,,,,,
2000 ,66,70,56,36,49,,131,135,134,94,,,,,,,,,,
2001 ,57,69,67,35,47,,132,136,136,94,,,,,,,,,,
2002 ,59,66,70,35,46,,122,134,133,92,,,,,,,,,,
2003 ,61,65,68,36,46,,128,133,133,92,,,,,,,,,,
2004 ,55,59,69,35,44,,120,125,125,87,,,,,,,,,,
2005 ,55,65,71,37,45,,121,124,124,87,,,,,,,,,,
2006 ,56,54,72,35,43,,122,123,123,86,,,,,,,,,,
2007 ,56,50,73,36,43,,113,124,124,86,,,,,,,,,,
2008 ,54,53,68,38,45,,112,121,120,87,,,,,,,,,,
2009 ,57,61,71,45,52,,119,122,122,92,,,,,,,,,,
2010 ,58,63,69,44,51,,118,123,122,93,,,,,,,,,,
Percentage change between,,,,,,,,,,,,,,,,,,,,
1990 - 2010,2,9,141,18,19,,4,-9,-5,17,,,,,,,,,,
2000 - 2010,-13,-10,25,22,5,,-10,-9,-9,-1,,,,,,,,,,
2009 - 2010,2,4,-2,-1,-1,,-1,0,0,1,,,,,,,,,,
2004 Q1,51,64,67,33,43,,114,132,131,89,,,,,,,,,,
2004 Q2,52,57,70,35,44,,115,118,118,85,,,,,,,,,,
2004 Q3,62,58,71,37,46,,122,126,125,87,,,,,,,,,,
2004 Q4,55,58,71,36,44,,129,125,125,88,,,,,,,,,,
2005 Q1,59,73,83,36,48,,130,125,125,90,,,,,,,,,,
2005 Q2,53,60,70,37,45,,131,126,126,86,,,,,,,,,,
2005 Q3,49,62,70,38,45,,113,128,127,88,,,,,,,,,,
2005 Q4,60,63,62,35,43,,112,119,119,85,,,,,,,,,,
2006 Q1,56,58,71,35,44,,116,123,122,86,,,,,,,,,,
2006 Q2,62,50,69,35,43,,126,128,128,88,,,,,,,,,,
2006 Q3,53,51,66,33,40,,119,121,121,83,,,,,,,,,,
2006 Q4,53,58,81,36,46,,127,123,123,87,,,,,,,,,,
2007 Q1,52,48,80,41,49,,110,123,123,89,,,,,,,,,,
2007 Q2,52,51,72,36,44,,115,126,125,88,,,,,,,,,,
2007 Q3,58,53,63,34,41,,114,123,123,83,,,,,,,,,,
2007 Q4,62,48,80,32,41,,114,124,123,86,,,,,,,,,,
2008 Q1,51,62,63,36,43,,117,122,121,86,,,,,,,,,,
2008 Q2,55,55,71,38,46,,119,128,128,90,,,,,,,,,,
2008 Q3,56,43,76,40,48,,110,116,115,87,,,,,,,,,,
2008 Q4,56,50,61,38,44,,101,119,118,87,,,,,,,,,,
2009 Q1,54,59,70,42,49,,118,124,124,92,,,,,,,,,,
2009 Q2,59,59,67,50,55,,119,124,124,95,,,,,,,,,,
2009 Q3,51,62,75,43,51,,117,118,118,90,,,,,,,,,,
2009 Q4,65,64,72,44,52,,123,122,122,93,,,,,,,,,,
2010 Q1,63,62,70,48,54,,118,127,127,97,,,,,,,,,,
2010 Q2,52,74,68,43,50,,124,116,116,88,,,,,,,,,,
2010 Q3,56,60,63,42,48,,116,126,125,94,,,,,,,,,,
2010 Q4,61,57,80,46,53,,113,122,122,94,,,,,,,,,,
2011 Q1 p,63,48,60,46,50,,113,121,121,89,,,,,,,,,,
Percentage change between,,,,,,,,,,,,,,,,,,,,
Q1 2010 - Q1 2011,0,-22,-13,-3,-8,,-4,-5,-5,-9,,,,,
,,,,,,,,,,,,,,,
p Provisional,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,"Source: Continuing Survey of Road Goods Transport, DfT",,,,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: November 2012,,,,,
,,,,,,,,,,Next update: November 2013,,,,,
,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,




,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
