Department for Transport statistics ,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,
,,,,,,,,,,,
Table RFS0144,,,,,,,,,,,
Summary of domestic and international road freight by UK HGVs: annual 2004-2010 and quarterly 2004-2011,,,,,,,,,,,
,,,,,,,,,,,
,Million tonnes,,,,,,Billion tonne kilometres,,,,
,Goods lifted1,,,,,,Goods moved2,,,,
,"Domestic3,4",,International5,,Cabotage6,,"Domestic3,4",,International5,,Cabotage6
Year,GB HGVs,NI HGVs,GB HGVs,NI HGVs,UK HGVs,,GB HGVs,NI HGVs,GB HGVs,NI HGVs,UK HGVs
2004 ,"1,743.7",65.3,11.5,10.2,1.9,,152.1,3.7,9.6,1.5,0.4
2005 ,"1,745.9",65.5,10.7,9.4,1.9,,152.6,3.5,8.0,1.7,0.4
2006 ,"1,775.8",69.7,10.8,13.0,2.4,,152.4,3.9,8.4,1.9,0.4
2007 ,"1,822.4",82.0,10.8,11.3,2.2,,157.3,4.1,8.2,1.6,0.4
2008 ,"1,667.5",73.7,10.5,7.9,2.5,,145.8,4.0,7.4,1.3,0.4
2009 ,"1,356.2",63.7,9.4,7.1,1.3,,125.2,3.9,6.7,1.0,0.3
2010 ,"1,488.5",56.6,10.4,8.2,2.3,,138.9,3.1,7.1,1.2,0.6,
2011 ,.,.,.,,,,.,.,.,,.,
Percentage change between,,,,,,,,,,,,
2009 - 2010,10,-11,10,15,75,,11,-20,6,27,112,
,,,,,,,,,,,,
2004 Q1,425.8,16.8,2.9,2.7,0.9,,37.8,0.8,2.6,0.4,0.1,
2004 Q2,454.5,14.1,2.9,2.6,0.4,,38.6,0.9,2.4,0.4,0.1,
2004 Q3,434.0,18.2,2.9,2.4,0.4,,38.0,1.0,2.3,0.3,0.1,
2004 Q4,429.4,16.2,2.8,2.5,0.2,,37.7,0.9,2.3,0.4,0.1,
2005 Q1,412.3,19.0,2.6,2.7,0.3,,37.2,1.0,2.0,0.5,0.1,
2005 Q2,461.0,17.4,2.9,2.4,0.6,,39.7,0.9,2.2,0.4,0.1,
2005 Q3,441.7,13.0,2.7,2.2,0.8,,39.0,0.8,2.0,0.4,0.1,
2005 Q4,430.8,16.1,2.5,2.1,0.3,,36.6,0.9,1.8,0.4,0.1,
2006 Q1,430.9,18.1,2.6,2.8,0.7,,37.1,1.2,2.0,0.5,0.1,
2006 Q2,431.3,17.7,2.7,3.1,0.8,,37.8,1.0,2.0,0.5,0.1,
2006 Q3,471.9,16.2,2.8,4.0,0.3,,38.9,0.8,2.3,0.5,0.1,
2006 Q4,441.8,17.7,2.7,3.1,0.7,,38.7,0.9,2.1,0.5,0.1,
2007 Q1,430.5,19.8,2.8,2.0,0.5,,38.3,1.1,2.1,0.3,0.1,
2007 Q2,456.2,19.4,2.8,3.2,0.2,,40.1,1.0,2.2,0.5,0.1,
2007 Q3,466.8,23.0,2.6,2.7,0.9,,38.8,1.1,2.0,0.4,0.1,
2007 Q4,468.9,19.7,2.6,3.4,0.6,,40.2,1.0,1.9,0.4,0.1,
2008 Q1,447.9,19.3,2.7,1.4,0.8,,38.4,1.0,1.9,0.4,0.1,
2008 Q2,412.9,19.5,2.8,2.2,0.5,,37.3,1.0,1.9,0.4,0.1,
2008 Q3,415.2,19.6,2.8,1.7,0.6,,35.9,1.0,2.0,0.3,0.1,
2008 Q4,391.4,15.3,2.1,2.5,0.6,,34.1,1.0,1.6,0.3,0.1,
2009 Q1,339.8,16.7,2.2,1.6,0.2,,31.2,1.2,1.5,0.2,0.0,
2009 Q2,334.1,15.4,2.6,2.3,0.3,,31.7,0.8,1.8,0.3,0.1,
2009 Q3,356.2,14.7,2.4,1.6,0.5,,32.1,0.9,1.7,0.3,0.1,
2009 Q4,326.1,16.9,2.3,1.6,0.3,,30.2,1.0,1.6,0.3,0.1,
2010 Q1,354.9,15.0,2.5,1.7,0.5,,34.6,0.8,1.7,0.3,0.1,
2010 Q2,385.8,18.9,2.6,2.5,0.9,,34.0,0.9,1.8,0.4,0.3,
2010 Q3,392.6,11.7,2.7,2.4,0.6,,37.0,0.8,1.8,0.3,0.1,
2010 Q4,355.2,11.1,2.6,1.5,0.3,,33.2,0.6,1.8,0.2,0.1,
