Department for Transport statistics,,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,,
Table LRT0101,,,,,,,,,,
Passenger journeys on light rail and trams by system1: England - annual from 1983/84 ,,,,,,,,,,
,,,,,,,,,,Millions
Financial year,,Docklands Light Railway,Croydon Tramlink,Nottingham Express Transit,Midland Metro,Sheffield Supertram ,Tyne and Wear Metro,Manchester Metrolink2,Blackpool Tramway,England
1983/84,,.,.,.,.,.,49.8,.,6.2,56.0
1984/85,,.,.,.,.,.,57.2,.,6.0,63.2
1985/86,,.,.,.,.,.,59.1,.,6.2,65.3
1986/87,,.,.,.,.,.,46.4,.,6.2,52.6
1987/88,,.,.,.,.,.,44.9,.,5.4,50.3
1988/89,,6.6,.,.,.,.,45.4,.,5.4,57.4
1989/90,,8.5,.,.,.,.,45.5,.,5.6,59.6
1990/91,,8.0,.,.,.,.,43.6,.,5.8,57.4
1991/92,,7.9,.,.,.,.,40.6,.,5.0,53.5
1992/93,,6.9,.,.,.,.,38.9,8.1,5.2,59.1
1993/94,,8.3,.,.,.,.,38.3,11.3,5.5,63.4,,,
1994/95,,11.3,.,.,.,2.2,37.0,12.3,5.4,68.2,,,
1995/96,,14.5,.,.,.,5.3,35.9,12.6,4.9,73.2,,,
1996/97,,16.7,.,.,.,7.8,35.4,13.4,4.9,78.2,,,
1997/98,,21.0,.,.,.,9.2,35.0,13.8,4.7,83.7,,,
1998/99,,27.6,.,.,.,10.4,33.8,13.2,4.4,89.3,,,
1999/00,,31.3,.,.,4.8,10.9,32.7,14.2,4.3,98.2,,,
2000/01,,38.4,15.0,.,5.4,11.1,32.5,17.2,4.1,123.6,,,
2001/02,,41.3,18.2,.,4.8,11.4,33.4,18.2,4.9,132.2,,,
2002/03,,45.7,18.7,.,4.9,11.5,36.6,18.8,4.5,140.7,,,
2003/04,,48.5,19.8,0.4,5.1,12.3,37.9,18.9,3.7,146.5,,,
2004/05,,50.1,22.0,8.5,5.0,12.8,36.8,19.7,3.9,158.7,,,
2005/06,,53.5,22.5,9.8,5.1,13.1,35.8,19.9,3.6,163.4,,,
2006/07,,63.9,24.6,10.1,4.9,14.0,37.9,19.8,3.4,178.6,,,
2007/08,,66.6,27.2,10.2,4.8,14.8,39.8,20.0,2.9,186.2,,,
2008/09,,67.8,27.2,9.8,4.7,15.0,40.6,21.1,2.3,188.6,,,
2009/10,,69.4,25.8,9.0,4.7,14.7,40.8,19.6,2.2,186.2,,,
2010/11,,78.3,27.9,9.7,4.8,15.0,39.9,19.2,1.6,196.5,,,
2011/12,,86.1,28.6,9.0,4.9,15.0,37.9,21.8,1.1,204.3,,,
"1 For further information on these systems including network and infrastructure changes that may affect the figures, please refer to the technical information. ",,,,,,,,,,,,,
2 Manchester Metrolink have revised their method for calculation of passenger boardings so the figures from 2010/11 are not directly comparable with,,,,,,,,,,,,,
 previous years.,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,Source: DfT Light Rail and Tram Survey,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,Last updated: 19 July 2012,,,
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,,,,Next update:Summer 2013,,,
The figures in this table are National Statistics,,,,,,,,,,,,,

,,,,,,,,,,,,,
,,,,,,,,,,,,,
