Department for Transport statistics,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,
,,,,,,,,,
Table LRT9902b [kilometres],,,,,,,,,
"Glasgow Underground statistics, annual from 1982/83",,,,,,,,,
,,,,,,,,,
,"Passenger
 journeys 
(millions)","Passenger kilometres
 (millions)","Loaded train or tram kilometres 
[also referred to as vehicle kilometres] 
(millions)",Stations or stops served,"Passenger 
carriages 
or tramcars",Route kilometres open for passenger traffic,"Passenger revenue at 2011/12 prices 
(£ millions)",,
1982/83,11.8,32.7,1.1,15,33,11.0,6.8,,
1983/84,12.3,34.6,1.1,15,33,11.0,8.2,,
1984/85,12.7,34.9,1.1,15,33,11.0,8.3,,
1985/86,13.1,36.2,1.1,15,33,11.0,7.9,,
1986/87,13.7,38.0,1.1,15,33,11.0,8.5,,
1987/88,13.6,39.1,1.1,15,33,11.0,8.5,,
1988/89,13.6,39.4,1.2,15,33,11.0,9.2,,
1989/90,13.5,39.1,1.2,15,33,11.0,8.9,,
1990/91,13.7,39.6,1.1,15,33,11.0,9.4,,
1991/92,13.6,39.3,1.1,15,33,11.0,9.4
1992/93,13.5,39.1,1.1,15,41,11.0,9.5
1993/94,14.3,41.4,1.1,15,41,11.0,10.1
1994/95,14.7,42.6,1.1,15,41,11.0,10.4
1995/96,14.3,41.4,1.1,15,41,11.0,11.3
1996/97,13.7,39.8,1.1,15,41,11.0,11.2
1997/98,14.1,45.2,1.1,15,41,11.0,11.7
1998/99,14.6,46.7,1.1,15,41,11.0,12.3
1999/00,14.7,47.0,1.2,15,41,11.0,13.0
2000/01,14.4,46.1,1.2,15,41,11.0,13.0
2001/02,13.8,44.1,1.2,15,41,11.0,12.9
2002/03,13.4,42.8,1.1,15,41,11.0,12.6
2003/04,13.3,42.7,1.1,15,41,11.0,12.6
2004/05,13.3,42.6,1.1,15,41,11.0,12.9
2005/06,13.2,42.1,1.2,15,41,10.4,12.9
2006/07,13.5,43.2,1.2,15,41,10.4,13.9
2007/08,14.5,46.3,1.2,15,41,10.4,14.2
2008/09,14.1,45.2,1.2,15,41,10.4,15.7
2009/10,13.1,41.8,1.2,15,41,10.4,14.8
2010/11,13.0,41.6,1.1,15,41,10.4,14.5
2011/12,12.9,41.2,1.3,15,41,10.4,14.3
Telephone: 020 7944 3094,,,,,,,Source: DfT Light Rail and Tram Survey
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,Last updated: 19 July 2012
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,Next update: Summer 2013
The figures in this table are outside the scope of National Statistics,,,,,,,
