Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table TSGB0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross Domestic Product, Retail Prices Index ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and Consumer Prices Index deflators: 2000-2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a)  Calendar years to 2011 price level  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,RPI Factor,CPI Factor,GDP factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1.381,1.285,1.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1.357,1.270,1.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1.335,1.254,1.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1.297,1.237,1.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1.260,1.221,1.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1.225,1.196,1.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1.187,1.169,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.138,1.142,1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1.095,1.103,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1.101,1.079,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.052,1.045,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1.000,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b)  Fiscal years to 2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,RPI Factor,CPI Factor,GDP factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000/01,1.385,1.294,1.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001/02,1.365,1.276,1.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002/03,1.337,1.260,1.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/04,1.301,1.244,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,1.261,1.226,1.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005/06,1.229,1.201,1.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006/07,1.185,1.171,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007/08,1.138,1.145,1.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/09,1.105,1.104,1.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,1.100,1.080,1.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,1.048,1.043,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,1.000,1.000,1.000,
,,,,
Note: GDP is revised so deflators may change whereas the CPI and RPI are not revised.,,,,
,,,,
Telephone: 020 7944 4442 ,,,"Source: Consumer Prices and Inflation Division, ONS",
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,
,,,Last updated: August 2012,
,,,Next update: Nov 2013,
The figures in this table are National Statistics.,,,,
,,,,
Notes and Definitions,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
