Department for Transport statistics,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,
,,,,,,,,,,
Table TSGB0111,,,,,,,,,,
"Usual time taken to travel to work by region of workplace, usual method, GOR, FMC and country: October to December 2011",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Minutes
,,,,,Rail,,,,,
Region,Car,Motorcycle,Bicycle,Bus/coach,National rail,Other rail1,All rail,Walk,Other modes2,All modes
,,,,,,,,,,
North East, 21 , * , 16 , 33 , 37 , 41 , 39 , 14 , * , 22 
Tyne and Wear, 22 , * , * , 33 , 39 , 40 , 40 , 16 , * , 24 
Rest of North East, 21 , * , * , 33 , 35 , * , * , 12 , * , 20 
North West, 24 , 20 , 20 , 35 , 53 , 40 , 50 , 15 , 16 , 25 
Greater Manchester, 26 , * , 19 , 37 , 54 , 37 , 48 , 16 , * , 27 
Merseyside, 23 , * , 22 , 35 , 47 , * , 47 , 14 , * , 25 
Rest of North West, 24 , 16 , 20 , 28 , 64 , * , 62 , 14 , * , 23 
Yorkshire and Humberside, 23 , 20 , 17 , 36 , 57 , * , 54 , 15 , * , 24 
South Yorkshire, 22 , * , * , 36 , 48 , * , 40 , 17 , * , 23 
West Yorkshire, 24 , * , * , 38 , 50 , * , 50 , 16 , * , 25 
Rest of Yorkshire and Humberside, 23 , * , 17 , 30 , 77 , * , 75 , 12 , * , 23 
East Midlands, 23 , * , 18 , 34 , 62 , * , 58 , 15 , * , 22 
West Midlands, 24 , 18 , 17 , 37 , 63 , * , 61 , 16 , * , 25 
West Midlands and Met., 26 , * , 14 , 38 , 59 , * , 57 , 17 , * , 28 
Rest of West Midlands, 21 , * , 18 , 33 , 85 , * , * , 15 , * , 22 
East of England, 25 , 17 , 16 , 41 , 57 , * , 60 , 14 , * , 24 
London, 36 , 31 , 28 , 40 , 70 , 49 , 60 , 17 , 46 , 44 
Central London, 59 , * , 33 , 41 , 71 , 48 , 60 , 25 , 45 , 55 
Rest of Inner London, 41 , 35 , 27 , 43 , 68 , 51 , 59 , 15 , * , 45 
Outer London, 31 , 24 , 23 , 37 , 62 , 53 , 58 , 14 , * , 32 
South East, 26 , 23 , 16 , 39 , 57 , * , 58 , 14 , 37 , 25 
South West, 23 , 19 , 21 , 37 , 54 , * , 52 , 13 , * , 22 
England, 25 , 21 , 20 , 37 , 65 , 48 , 58 , 15 , 33 , 28 
Wales, 21 , * , 16 , 33 , 52 , * , 51 , 12 , * , 21 
Scotland, 23 , * , 20 , 35 , 52 , * , 50 , 13 , 47 , 25 
Great Britain, 25 , 21 , 20 , 37 , 65 , 49 , 59 , 15 , 33 , 28 
,,,,,,,,,,
,,,,,,,,,,
"1. Includes underground, light railway systems and trams.",,,,,,,,,,"Source: Office for National Statistics, Labour Force Survey"
2. Includes taxis.,,,,,,,,,,?020 7944 2519
,,,,,,,,,,Email: subnational.stats@dft.gsi.gov.uk
Last updated: August 2012 (revised following 2011 reweighting),,,,,,,,,,
Next update: May 2013,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,
Notes and definitions,,,,,,,,,,

* Data for some cells are not shown because they fall below the LFS reliability threshold.,,,,,,,,,,
