Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,
Energy and environment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table ENV0301 (TSGB0308),,,,,,,,,,,,,,,,,,,,,,
"Air pollutant emissions by transport mode: United Kingdom, 1999-20101",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thousand tonnes/percentage,,,,,,,
,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,"Per cent 
of total
in 2010",,,,,,,
(a) Carbon monoxide (CO),,,,,,,,,,,,,,,,,,,,,,
,,Total,788,719,685,647,610,584,556,536,511,478,396,371,34,,
,Other transport,Rail,35,40,42,37,34,36,37,38,37,37,36,36,3,,
,,Aviation - LTO2,11,11,11,11,12,13,14,13,13,13,12,11,1,,
,,Domestic shipping,47,44,42,44,43,43,44,42,41,40,39,37,3,,
,,Total,92,95,95,91,88,91,95,93,92,90,86,85,8,,
,Transport total,,880,814,780,738,698,675,651,629,603,568,482,455,41,,
National total reported to the UNECE,,,"1,861","1,791","1,761","1,678","1,646","1,594","1,580","1,525","1,461","1,317","1,143","1,106",100,,
Transport memo items3,,Aviation - cruise2,123,134,130,126,129,141,153,155,154,149,143,137,.,,
,,International shipping,167,147,149,116,137,157,168,217,229,259,240,208,.,,
(c) Particulates (PM10) - airbourne particulate matter with aerodynamic diameter less than 10 micrometres,,,,,,,,,,,,,,,Thousand tonnes/percentage,,
Transport emissions,Road transport,Cars and taxis,8.7,7.1,7.0,6.8,6.6,6.5,6.4,6.2,5.9,5.9,5.8,5.4,5,,
,,Light vans,8.1,6.8,6.8,6.2,5.9,5.5,5.2,4.6,4.3,3.8,3.5,3.5,3,,
,,Heavy goods vehicles,8.0,6.7,6.1,5.5,5.0,4.6,4.2,3.9,3.6,2.9,2.2,2.0,2,,
,,Buses and coaches,1.8,1.4,1.2,1.1,1.0,0.9,0.8,0.7,0.7,0.5,0.5,0.4,-,,
,,Motorcycles & mopeds,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,,
,,Tyre & brake wear,8.7,8.8,8.9,9.1,9.2,9.3,9.3,9.5,9.6,9.5,9.3,9.2,8,,
,,Road abrasion,4.6,4.7,4.7,4.8,4.9,4.9,4.9,5.0,5.1,5.0,4.9,4.8,4,,
,,Total,40.1,35.6,34.7,33.5,32.7,32.0,31.0,30.1,29.2,27.7,26.3,25.4,22,,
,Other transport,Rail,0.8,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1,,
,,Aviation - LTO2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,,
,,Domestic shipping,3.3,3.1,3.0,3.1,3.1,3.1,3.2,3.1,2.2,2.2,2.1,2.0,2,,
,,Total,4.3,4.0,3.9,3.9,3.8,3.8,4.0,3.9,3.0,3.0,2.9,2.8,2,,
,Transport total,,44.4,39.6,38.6,37.4,36.5,35.8,35.0,34.0,32.3,30.7,29.2,28.2,25,,
National total reported to the UNECE,,,186.1,171.3,164.9,143.1,140.0,137.8,135.0,133.4,130.7,125.6,113.9,114.2,100,,
Road transport resuspension4,,,19.3,19.4,19.7,20.2,20.4,20.7,20.7,21.1,21.3,21.2,21.0,20.6,.,,
Transport memo items3,,Aviation - cruise2,1.7,1.9,1.9,1.8,1.9,2.0,2.2,2.2,2.2,2.2,2.1,2.0,.,,
,,International shipping,7.4,5.8,5.5,4.5,5.5,7.5,8.8,11.4,15.1,18.3,16.6,14.1,.,,
(d) Benzene,,,,,,,,,,,,,,,Thousand tonnes/percentage,,
Transport emissions ,Road transport5,Cars and taxis,16.0,11.0,11.0,10.4,9.7,8.9,7.8,6.8,5.5,4.7,3.3,2.5,19,,
,,Light vans,0.9,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,1,,
,,Heavy goods vehicles,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,,
,,Buses and coaches,-,-,-,-,0.1,0.1,0.1,0.1,0.1,-,-,-,-,,
,,Motorcycles & mopeds,0.8,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,1,,
,,Petrol evaporation,1.7,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,-,-,-,-,,
,,Total,19.6,12.1,12.2,11.5,10.7,9.7,8.5,7.5,6.1,5.3,3.7,2.8,22,,
,Other transport,Rail,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
,,Aviation - LTO2,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-
,,Domestic shipping,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,1
,,Total,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,4
,Transport total,,20.5,13.0,13.1,12.4,11.6,10.7,9.5,8.4,7.1,6.2,4.7,3.7,25
National total reported to the UNECE,,,29.8,21.4,21.0,19.6,18.4,17.7,16.2,15.0,13.6,12.4,10.3,9.3,100
Transport memo items3,,Aviation - cruise2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,.
,,International shipping,1.0,0.9,0.9,0.7,0.8,0.9,1.0,1.3,1.2,1.4,1.3,1.1,.
,,,,,,,,,,,,,,,
"ENV0301 (continued) Air pollutant emissions by transport mode: United Kingdom, 1999-20101",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,"Per cent 
of total
in 2010"
"(e) 1,3-butadiene",,,,,,,,,,,,,,,Thousand tonnes/percentage
Transport emissions ,Road transport,Cars and taxis,5.7,4.8,4.0,3.4,2.9,2.5,2.1,1.9,1.6,1.4,0.8,0.7,37
,,Light vans,0.6,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,4
,,Heavy goods vehicles,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,7,,
,,Buses and coaches,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,2,,
,,Motorcycles & mopeds,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,2,,
,,Total,6.9,5.8,5.0,4.2,3.6,3.1,2.7,2.4,2.0,1.8,1.1,0.9,52,,
,Other transport,Rail,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7,,
,,Aviation - LTO2,0.1,-,-,-,-,-,-,-,-,-,-,-,1,,
,,Total,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9,,
,Transport total,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,61,,
National total reported to the UNECE,,,7.2,6.1,5.2,4.5,3.9,3.4,3.0,2.7,2.3,2.1,1.4,1.2,100,,
Transport memo items3,,Aviation - cruise2,8.6,7.3,6.4,5.6,4.9,4.4,4.0,3.6,3.3,3.0,2.3,2.1,.,,
(f) Lead (Pb),,,,,,,,,,,,,,,Tonnes/percentage,,
Transport emissions ,Road transport5,Cars and taxis,283.0,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.0,1.0,0.9,0.9,2,,
,,Light vans,13.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-,,
,,Heavy goods vehicles,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,1,,
,,Buses and coaches,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,,
,,Motorcycles & mopeds,2.4,-,-,-,-,-,-,-,-,-,-,-,-,,
,,Total,299.6,2.2,2.0,1.9,1.9,2.0,2.0,2.0,1.7,1.6,1.6,1.6,3,,
,Other transport,Rail,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-,,
,,Aviation - LTO2,-,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,,
,,Domestic shipping,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,Total,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,1,,
,Transport total,,299.8,2.4,2.2,2.2,2.2,2.2,2.3,2.3,1.9,1.9,1.8,1.8,3,,
National total reported to the UNECE,,,476.8,149.2,142.2,131.6,116.5,117.6,107.5,87.9,79.2,73.0,63.4,59.4,100,,
Transport memo items3,,Aviation - cruise2,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,.,,
,,International shipping,0.9,0.8,0.8,0.6,0.8,0.9,1.0,1.3,1.4,1.6,1.5,1.3,.,,
(g) Sulphur dioxide (SO2),,,,,,,,,,,,,,,Thousand tonnes/percentage,,
Transport emissions ,Road transport5,Cars and taxis,12.0,5.5,3.1,2.7,2.7,2.5,2.1,2.1,1.8,1.3,0.7,0.8,-,,
,,Light vans,0.9,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,-,,
,,Heavy goods vehicles,1.0,0.6,0.6,0.6,0.6,0.5,0.5,0.3,0.2,0.1,0.1,0.1,-,,
,,Buses and coaches,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,-,-,,
,,Mopeds & motorcycles,0.1,-,-,-,-,-,-,-,-,-,-,-,-,,
,,Total,14.2,6.6,4.1,3.7,3.7,3.5,3.0,2.7,2.3,1.5,0.9,1.0,-,,
,Other transport,Rail,1.4,1.3,1.3,1.5,1.7,1.7,1.7,1.9,1.8,1.2,1.2,1.1,-,,
,,Aviation - LTO2,0.6,0.7,0.7,0.6,0.7,0.8,0.9,1.0,0.9,0.9,0.7,0.7,-,,
,,Domestic shipping,22.3,20.4,19.7,20.8,20.4,20.5,21.2,20.1,14.3,13.5,12.8,12.1,3,,
,,Total,24.3,22.5,21.8,22.9,22.8,23.0,23.8,23.0,17.0,15.6,14.8,13.9,4,,
,Transport total,,38.6,29.1,25.9,26.6,26.5,26.5,26.8,25.7,19.2,17.1,15.7,14.9,4,,
National total reported to the UNECE,,,"1,246.4","1,227.9","1,132.8","1,014.0",991.9,831.5,706.0,665.0,586.0,491.1,397.3,406.4,100,,
Transport memo items3,,Aviation - cruise2,5.9,6.7,7.3,5.9,6.9,8.2,8.9,10.7,9.5,10.1,8.3,8.2,.,,
,,International shipping,63.7,48.9,46.0,38.9,47.7,66.4,78.2,100.1,135.5,159.6,146.3,120.5,.,,
,,,,,,,,,,,,,,,,,
1. UK national emission estimates are updated annually and any developments in methodology  ,,,,,,,,,,,,,,,Sources - AEA Energy & Environment/DEFRA (NAEI),,
    are applied retrospectively to earlier years. The main revisions to the latest emissions   ,,,,,,,,,,,,,,,,,
    estimates were for shipping and rail (see notes and definitions).,,,,,,,,,,,,,,,Last updated: November 2012,,
2. Domestic and international aviation are combined. LTO = Landing and takeoff.,,,,,,,,,,,,,,,Next updated: September 2013,,
3. Emissions from aviation (cruise) and international shipping are not included in the national total ,,,,,,,,,,,,,,,,,
    that is reported to UNECE but reported separately as memo items (see notes and definitions).,,,,,,,,,,,,,,,,,
4. Emissions resulting from the resuspension of particles caused by the turbulence of passing,,,,,,,,,,,,,,,,,
"    vehicles. These emissions are not included in the total for PM10, to avoid double counting, but ",,,,,,,,,,,,,,,
    are important in reconciling roadside concentration measurements.,,,,,,,,,,,,,,,
"5. The sharp falls in benzene, lead and sulphur dioxide emissions from road transport between ",,,,,,,,,,,,,,,
    1999 and 2000 were mainly due to changes in the composition of road fuels as a result of an ,,,,,,,,,,,,,,,
    EU directive on the quality of petrol and diesel (Directive 98/70/EC).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Email: environment.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,
Telephone: 020 7944 4129,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
