Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table TSGB0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household expenditure on transport: United Kingdom: 2001/02 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,£ per week/percentage,,,,,,,,,,,,,,,,,,,,
Transport (COICOP categories) 1,,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006,2006,2007,2008,2009,2010,,,,,,,,,,,,,,,,,,,,
(a) Motoring and bicycle costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase of vehicles,,23.20,25.80,26.60,28.10,25.10,23.90,23.40,22.90,22.80,21.10,19.50,19.50,,,,,,,,,,,,,,,,,,,,
,New cars and vans,10.60,10.70,11.30,11.40,10.10,9.60,8.30,8.00,7.80,6.60,6.50,6.50,,,,,,,,,,,,,,,,,,,,
,Second-hand cars and vans,11.80,14.40,14.50,16.00,14.10,14.00,14.50,14.20,14.40,13.60,12.40,12.20,,,,,,,,,,,,,,,,,,,,
,Motorcycles and scooters,0.60,0.50,0.70,0.60,0.50,..,0.30,0.30,0.40,0.60,0.40,0.40,,,,,,,,,,,,,,,,,,,,
,Other vehicles (mainly bicycles),..,0.20,0.20,0.20,0.30,0.20,0.30,0.30,0.20,0.40,0.20,0.40,,,,,,,,,,,,,,,,,,,,
,Bicycle purchase,0.20,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,
"Spares, accessories, repairs and servicing",,6.40,7.00,7.30,6.90,7.80,8.00,8.00,7.80,8.10,8.60,7.90,9.10,,,,,,,,,,,,,,,,,,,,
,Car or van,6.00,6.80,6.90,6.60,7.50,7.70,7.70,7.50,7.80,8.30,7.60,8.70,,,,,,,,,,,,,,,,,,,,
,Motorcycle,0.20,0.10,0.20,0.20,0.10,0.20,0.20,0.20,0.20,0.00,0.20,0.10,,,,,,,,,,,,,,,,,,,,
,Bicycle,0.10,0.10,0.20,0.10,0.10,0.20,0.20,0.20,0.10,0.20,0.20,0.20
"Petrol, diesel and other motor oils:",,15.80,14.80,14.80,15.00,16.20,17.50,18.20,17.90,18.30,21.00,19.20,21.60
,Petrol,14.00,12.70,12.70,12.40,13.40,14.30,14.50,14.30,14.10,15.70,14.70,15.60
,Diesel,1.80,2.00,2.10,2.50,2.80,3.10,3.70,3.60,4.10,5.30,4.50,5.90
,Other motor oils,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
Other motoring costs,,1.80,1.80,1.90,1.90,2.40,2.30,2.40,2.30,2.40,2.10,2.20,2.60
All motoring and bicycle costs,,47.20,49.40,50.70,51.90,51.40,51.80,52.10,50.90,51.60,52.90,48.80,52.80
(b) Transport services,,,,,,,,,,,,,
Rail and tube fares:,,2.00,1.90,1.80,1.90,2.00,2.10,2.20,2.10,2.50,2.40,2.50,2.80
,Season tickets,0.60,0.60,0.60,0.70,0.70,0.70,0.80,0.70,0.80,1.00,0.80,1.00
,Other tickets,1.40,1.30,1.20,1.20,1.30,1.40,1.40,1.40,1.70,1.50,1.60,1.70
Bus and coach fares:,,1.40,1.50,1.40,1.40,1.50,1.50,1.30,1.30,1.20,1.40,1.30,1.50
,Season tickets,0.30,0.30,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.50,0.40,1.50
,Other tickets,1.10,1.10,1.10,1.10,1.10,1.10,0.90,0.90,0.90,0.90,0.90,1.00
Combined tickets:,,0.90,1.00,0.80,0.70,0.80,1.00,1.00,1.00,1.30,1.20,1.10,1.20
,Season tickets,0.70,0.80,0.60,0.50,0.60,0.80,0.80,0.80,0.90,0.90,0.90,0.90
,Other tickets,0.20,0.20,0.20,0.10,0.20,0.20,0.20,0.20,0.40,0.30,0.30,0.30,,,
Air and other travel and transport:,,4.30,4.10,4.50,4.80,3.80,5.40,5.50,5.50,5.10,5.40,4.80,6.60,,,
