Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table TSGB0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger journeys on public transport vehicles, annual from 1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Millions,,,,,,,,,,,,,,,,,,,,
,,Rail and Underground systems,,,,Light Rail and Tram Systems,,,Street running public transport,,,,Air (UK) 5,,,,,,,,,,,,,,,,,,,,
Year,,National Rail network 1,London Under-ground,Glasgow Subway 2,,First Generation Trams 3,Light rail and modern Trams 4,,Trolley buses,Local bus service,"Non-local 
bus or coach",,Passengers on domestic flights,,,,,,,,,,,,,,,,,,,,
1950,,"1,010",695,..,,"1,750",..,,"1,961","12,734",260,,..,,,,,,,,,,,,,,,,,,,,
1951,,"1,030",702,..,,"1,479",..,,"1,876","12,985",282,,..,,,,,,,,,,,,,,,,,,,,
1952,,"1,017",670,..,,"1,207",..,,"1,783","13,049",297,,0.7,,,,,,,,,,,,,,,,,,,,
1953,,"1,015",672,..,,"1,013",..,,"1,726","13,026",318,,0.8,,,,,,,,,,,,,,,,,,,,
1954,,"1,020",671,..,,875,..,,"1,663","13,059",293,,1.0,,,,,,,,,,,,,,,,,,,,
1955,,994,676,..,,769,..,,"1,598","13,225",337,,1.2,,,,,,,,,,,,,,,,,,,,
1956,,"1,029",678,..,,607,..,,"1,503","13,059",341,,1.4,,,,,,,,,,,,,,,,,,,,
1957,,"1,101",666,..,,476,..,,"1,437","12,491",332,,1.6,,,,,,,,,,,,,,,,,,,,
1958,,"1,090",692,..,,377,..,,"1,257","11,879",337,,1.5,,,,,,,,,,,,,,,,,,,,
1959,,"1,069",669,..,,247,..,,"1,193","12,152",345,,1.7
1960,,"1,037",674,..,,157,..,,990,"12,166",367,,2.2
1961,,"1,025",675,..,,104,..,,756,"12,159",384,,2.8
1962,,965,668,..,,46,..,,557,"12,045",382,,3.3
1963,,938,673,..,,16,..,,476,"11,860",381,,3.7
1964,,928,674,..,,16,..,,368,"11,497",386,,4.2
1965,,865,657,..,,15,..,,286,"10,938",413,,4.7
1966,,835,667,..,,14,..,,188,"10,407",419,,5.1
1967,,837,661,..,,13,..,,106,"10,047",450,,5.3
1968,,831,655,..,,12,..,,68,"9,699",455,,5.0
1969,,806,676,..,,12,..,,50,"9,303",458,,5.2
1970,,824,672,..,,10,..,,34,"8,643",467,,5.4
1971,,816,654,..,,10,..,,15,"8,128",486,,5.4
1972,,754,655,..,,10,..,,1,"7,901",512,,5.9
1973,,728,644,..,,11,..,,.,"7,866",577,,6.5
1974,,733,636,..,,10,..,,.,"7,706",597,,6.1
1975,,730,601,..,,9,..,,.,"7,524",635,,5.8,,
1976,,702,546,..,,8,..,,.,"7,141",648,,6.1,,
1977,,702,545,..,,8,..,,.,"6,856",641,,5.5,,
1978,,724,568,..,,8,..,,.,"6,617",680,,6.4,,
1979,,748,594,..,,9,..,,.,"6,463",628,,7.2,,
1980,,760,559,10,,8,..,,.,"6,216",559,,7.2,,
1981,,719,541,11,,6,..,,.,"5,688",584,,6.6,,
1982,,630,498,12,,6,..,,.,"5,512",579,,7.0,,
1983,,694,563,12,,6,50,,.,"5,581",622,,7.0,,
1984,,702,672,13,,6,57,,.,"5,644",587,,8.0,,
1985/86,,686,732,13,,6,59,,.,"5,813",537,,8.6,,
1986/87,,738,769,14,,6,46,,.,"5,494",572,,9.3,,
1987/88,,798,798,14,,5,45,,.,"5,434",592,,10.3,,
1988/89,,822,815,14,,5,52,,.,"5,352",563,,11.6,,
1989/90,,812,765,13,,6,54,,.,"5,208",594,,12.6,,
1990/91,,810,775,14,,6,52,,.,"4,974",619,,13.1,,
1991/92,,792,751,14,,5,49,,.,"4,785",.. ,,12.0,,,,
1992/93,,770,728,14,,5,54,,.,"4,594",.. ,,12.0,,,,
1993/94,,740,735,14,,6,58,,.,"4,494",.. ,,12.4,,,,
1994/95,,735,764,15,,5,63,,.,"4,528",.. ,,13.3,,,,
1995/96,,761,784,14,,5,68,,.,"4,489",.. ,,14.3,,,,
1996/97,,801,772,14,,5,73,,.,"4,455",.. ,,15.3,,,,
1997/98,,846,832,14,,5,79,,.,"4,430",.. ,,16.2,,,,
1998/99,,892,866,15,,4,85,,.,"4,350",.. ,,16.9,,,,
1999/00,,931,927,15,,4,94,,.,"4,376",.. ,,17.4,,,,
2000/01,,957,970,14,,4,120,,.,"4,420",.. ,,18.2,,,,
2001/02,,960,953,14,,5,127,,.,"4,455",.. ,,18.5,,,,
2002/03,,976,942,13,,5,136,,.,"4,550",.. ,,20.2,,,,
2003/04,,"1,012",948,13,,4,143,,.,"4,681",.. ,,21.0,,,,
2004/05,R,"1,040",976,13,,4,155,,.,"4,631",.. ,,22.7,,,,
2005/06,R,"1,076",970,13,,4,160,,.,"4,721",.. ,,23.3,,,,
2006/07,R,"1,145","1,040",14,,3,175,,.,"4,915",.. ,,23.0,,,,
2007/08,R,"1,218","1,096",15,,3,183,,.,"5,165",.. ,,22.3,,,,
2008/09,R,"1,266","1,089",14,,2,186,,.,"5,272",.. ,,21.0,,,,
2009/10,R,"1,259","1,059",13,,2,184,,.,"5,214",.. ,,19.7,,,,
2010/11,R,"1,356","1,107",13,,2,195,,.,"5,203",.. ,,18.4,,,,
2011/12,,"1,462","1,171",13,,1,203,,.,"5,233",..,,19.3,,,,
,,,,,,,,,,,,,,,,,
1  Figures prior to 2009/10 exclude non-franchised operators. From 1994/95 National Rail passenger journeys figures include an element of inflation as the figures,,,,,,,,,,,,,,,,,
    represent the number of different trains used in the course of all journeys.,,,,,,,,,,,,,,,,,
2  Glasgow Subway was closed for refurbishment in 1978 and 1979.,,,,,,,,,,,,,,,,,
3  Only Blackpool Tramway still operates from this category.,,,,,,,,,,,,,,,,,
"4  Light rail and modern trams includes Tyne and Wear Metro (opened 1980), Docklands Light Railway (1987), Manchester Metrolink (1992),",,,,,,,,,,,,,,,,,
"    Sheffield Supertram (1994), West Midlands Metro (1999), Croydon Tramlink (2000) and Nottingham NET (2004). ",,,,,,,,,,,,,,,,,
"5  UK airlines, domestic passengers uplifted on scheduled and non-scheduled flights.  Figures are for calendar years.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
R  National Rail passenger journeys have been revised for 2009/10 and 2010/11. Local bus passenger journeys revised for years 2004/05 to 2010/11.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,,,,"Sources: bus, coach, tram and rail operators; ORR; CAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,Last updated: December 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rail and Air figures in this table are outside the scope of National Statistics.,,,,,,,,,,,,,Next update: December 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
