Department for Transport statistics,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table TSGB0114,,,,,,,,,,,,,
Overseas travel: visits to and from the United Kingdom by purpose and area; all modes 2001-2011,,,,,,,,,,,,,
,,,,,,,,,,,,,Thousands/percentage
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,% of total in 2011
Visits to the United Kingdom by overseas residents 1,,,,,,,,,,,,,
,North America," 4,228 "," 4,272 "," 3,997 "," 4,356 "," 4,234 "," 4,764 "," 4,403 "," 3,806 "," 3,564 "," 3,397 "," 3,586 ",12%
,EU 27," 13,602 "," 14,866 "," 15,783 "," 17,818 "," 19,714 "," 21,287 "," 21,824 "," 21,627 "," 20,331 "," 20,266 "," 20,348 ",66%
,Other Europe," 1,255 "," 1,351 "," 1,424 "," 1,606 "," 1,851 "," 2,090 "," 2,063 "," 2,039 "," 1,752 "," 1,780 "," 2,090 ",7%
,Other Countries," 3,751 "," 3,691 "," 3,511 "," 3,975 "," 4,171 "," 4,572 "," 4,488 "," 4,416 "," 4,242 "," 4,360 "," 4,774 ",16%
,Total," 22,835 "," 24,180 "," 24,715 "," 27,755 "," 29,970 "," 32,713 "," 32,778 "," 31,888 "," 29,889 "," 29,803 "," 30,798 ",100%
,,,,,,,,,,,,,
,Holiday," 7,585 "," 7,735 "," 7,973 "," 9,275 "," 9,713 "," 10,566 "," 10,758 "," 10,923 "," 11,424 "," 11,668 "," 12,008 ",39%
,Business," 6,778 "," 7,158 "," 6,967 "," 7,470 "," 8,168 "," 9,019 "," 8,845 "," 8,124 "," 6,579 "," 6,793 "," 7,238 ",24%
,Visiting Friends or relatives,"5,898","6,398","6,978","7,861","8,687","9,406","9,720","9,727","8,783","8,408","8,841",29%
,Miscellaneous,"2,574","2,888","2,797","3,149","3,401","3,722","3,456","3,113","3,103","2,935","2,710",9%
,Total,"22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","29,889","29,803","30,798",100%
,Unweighted sample size (number),"40,124","39,571","38,099","41,848","44,574","45,246","41,740","36,683","47,304","46,740","42,785",
Visits abroad by United Kingdom Residents 2,,,,,,,,,,,,,
,North America,"4,656","4,211","4,142","4,780","4,869","4,702","4,587","4,629","3,652","3,653","3,668",6%
,EU 27,"45,334","46,499","48,066","48,583","49,390","51,314","51,186","50,081","42,396","38,925","40,487",71%
,Other Europe,"2,239","2,380","2,601","2,942","3,448","3,856","4,002","4,343","3,548","3,640","3,579",6%
,Other Countries,"6,052","6,287","6,615","7,889","8,734","9,664","9,675","9,958","9,018","9,344","9,103",16%
,Total,"58,281","59,377","61,424","64,194","66,441","69,536","69,450","69,011","58,614","55,562","56,836",100%
,,,,,,,,,,,,,
,Holiday,"38,670","39,902","41,197","42,912","44,175","45,287","45,437","45,531","38,492","36,422","36,819",65%
,Business,"8,220","8,073","7,892","8,140","8,556","9,102","9,018","8,920","6,887","6,639","6,846",12%
,Visiting Friends or relatives,"7,727","7,870","8,527","9,799","10,648","11,963","12,214","12,392","11,592","10,850","11,594",20%
,Miscellaneous,"3,664","3,532","3,807","3,343","3,063","3,184","2,781","2,166","1,643","1,652","1,576",3%
,Total,"58,281","59,377","61,424","64,194","66,441","69,536","69,450","69,011","58,614","55,562","56,836",100%
,Unweighted sample size (number),"53,438","54,952","55,298","57,686","63,427","63,715","57,558","57,312","66,935","65,953","62,646",
1  Area shown is that for the country of residence,,,,,,,,,,,,,
2  Area shown is that for the main country of visit,,,,,,,,,,,,,
Telephone: 020 7944 3088,,,,,,,,,,,,,"Source - International Passenger Survey, ONS"
Email: aviation.stats@dft.gsi.gov.uk ,,,,,,,,,,,,,Last updated December 2012
,,,,,,,,,,,,,Next updated December 2013
The figures in this table are National Statistics,,,,,,,,,,,,,
