Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table TSGB0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Public Expenditure on Transport by Country and Spending Authority:1 from 2005/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,£ million (outturn prices),,,,,,,,,,,,,,,,,,
,,,,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,,,,,,,,,,,,,,,,,,
England,,,,"13,621","15,555","15,940","16,409","18,052","16,593","15,532",,,,,,,,,,,,,,,,,,
,Central government expenditure 2,,,"5,239","7,154","7,314","7,372","8,336","7,295","6,796",,,,,,,,,,,,,,,,,,
,,Capital,,"2,535","4,110","4,233","5,131","5,720","5,194","4,798",,,,,,,,,,,,,,,,,,
,,,Strategic roads 3,767,"1,154","1,090","1,151","1,968","1,626","1,311",,,,,,,,,,,,,,,,,,
,,,Local roads 4,0,0,42,100,217,134,104,,,,,,,,,,,,,,,,,,
,,,Local public transport,0,0,0,0,6,6,18,,,,,,,,,,,,,,,,,,
,,,Railways 5,"1,752","2,927","3,049","3,875","3,522","3,419","3,361",,,,,,,,,,,,,,,,,,
,,,Other transport,16,29,53,5,8,8,3,,,,,,,,,,,,,,,,,,
,,Current / resource,,"2,703","3,044","3,081","2,241","2,616","2,101","1,998",,,,,,,,,,,,,,,,,,
,,,Strategic roads 3,"1,379","1,471","1,473","1,643","1,361","1,113","1,109",,,,,,,,,,,,,,,,,,
,,,Local public transport,364,448,517,431,449,418,422
,,,Railways 5,702,824,782,-133,474,301,272
,,,Other transport,258,301,309,299,331,269,195
,Local government expenditure,,,"6,779","6,797","7,130","7,529","8,289","7,870","7,001"
,,Capital,,"2,834","2,697","2,803","3,247","3,650","3,763","3,072"
,,,Local roads,"2,244","2,170","2,299","2,673","2,607","2,803","2,065"
,,,Local public transport,580,518,471,508,"1,013",938,988
,,,Other transport,9,9,33,65,30,21,18
,, Current / resource,,"3,946","4,100","4,327","4,282","4,638","4,107","3,929"
,,,National roads,40,40,0,0,0,0,0
,,,Local roads,"1,556","1,551","1,572","1,546","1,759","1,396","1,338"
,,,Local public transport,"1,403","1,534","1,698","2,157","1,992","1,784","1,727"
,,,Railways 5,947,974,"1,008",481,769,812,770
,,,Other transport,0,0,49,99,118,115,93
, Public Corporation expenditure,,,"1,603","1,604","1,495","1,509","1,427","1,428","1,735"
,,,Capital: National roads,15,22,22,15,9,0,0
,,,Capital: Railways,"1,588","1,583","1,473","1,494","1,419","1,428","1,735"
Scotland,,,,"1,827","2,706","2,838","2,727","2,923","2,727","2,722"
,Central government expenditure 2,,,971,"1,753","1,858","1,783","1,931","1,802","1,747"
,,Capital,,505,763,803,771,934,764,760
,,,National roads,209,266,205,272,422,322,299
,,,Railways,290,497,583,493,506,435,452
,,,Other transport,5,1,14,5,6,7,9
,,Current / resource,,466,990,"1,055","1,012",997,"1,038",987
,,,National roads,164,199,233,216,174,230,150
,,,Local public transport,59,224,227,247,257,240,245
,,,Railways,122,457,481,412,419,429,437
,,,Other transport,121,110,114,136,146,139,155
,  Local government expenditure ,,,825,912,967,930,981,915,964
,,Capital,,369,466,501,443,483,391,495
,,,Local roads,256,314,280,288,300,285,368
,,,Railways,28,108,88,6,8,6,7
,,,Other transport,85,44,133,149,175,100,120
,,Current / resource,,456,445,466,487,498,524,469
,,,National roads,15,16,16,16,16,15,16
,,,Local roads,342,336,345,366,384,405,342
,,,Local public transport,20,16,20,18,18,18,23
,,,Other transport,78,78,85,87,80,85,88
, Public Corporation expenditure,,,31,41,12,14,11,10,11
,,,Capital: National roads,1,3,2,2,1,0,0
,,,Capital: Railways,12,9,3,4,5,5,6
,,,Capital: Other transport,18,29,7,8,6,6,6
Wales,,,,855,888,934,"1,029","1,153","1,169","1,074"
,Central government expenditure 2,,,457,469,484,564,725,730,633
,,Capital,,159,225,222,265,353,384,334
,,,National roads,91,113,129,116,161,200,125
,,,Local roads,0,3,1,2,3,0,0
,,,Railways,64,109,92,147,189,184,208
,,,Other transport,4,1,0,0,0,0,0
,,Current / resource,,298,244,262,299,371,346,300
,,,National roads,64,71,62,74,79,97,109
,,,Local roads,0,0,0,0,0,0,0
,,,Local public transport,21,20,23,23,28,21,0
