Tonnage,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,,1982,1983,1984,1985,1986,1987,(GB) 1988,,,(UK) 1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,
Road goods vehicles (includes unaccompanied trailers to 1981),"3,506 ","4,413 ","5,674 ","7,798 ","9,986 ","10,811 ","13,225 ","14,794 ","17,064 ","19,273 ","19,903 ","20,605 ",,"22,027","24,606","27,040","28,694","30,936","33,571","37,012",,,"41,959","47,659","47,842","47,704","51,580","54,506","59,649","61,194","60,790","71,057","71,802","73,519","35,852","37,706","39,119","38,759","42,896",,"44,854","46,592","48,233","48,694","44,397","42,545","42,509",,,,,,,,,
Unaccompanied trailers,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,,,..,..,..,..,..,..,..,..,..,..,..,..,"38,408","35,678","36,843","37,361","38,087",,"38,600","39,658","38,534","36,114","34,241","37,210","38,534",,,,,,,,,
"Rail wagons, shipborne port-to-port trailers & barges 2,3",839 ,743 ,724 ,695 ,680 ,607 ,664 ,874 ,902 ,"1,075 ","1,074 ","1,108 ",,"1,281","1,484","1,609","1,480",985,987,"1,081",,,"1,081","1,016",896,837,946,893,858,618,- ,-,-,-,"6,166","4,846","5,294","5,505","5,483",,"10,064","10,837","11,099","10,800","11,023","11,209","11,384",,,,,,,,,
All main freight units,"15,701 ","17,956 ","20,847 ","26,092 ","28,257 ","27,041 ","29,903 ","32,522 ","36,030 ","38,476 ","38,964 ","40,159 ",,"42,912","47,078","50,968","53,826","56,326","61,860","68,652",,,"75,257","81,680","83,250","84,966","90,907","96,049","104,193","109,398","110,784","124,383","127,312","131,919","132,039","130,043","132,434","133,038","142,969",,"147,468","151,580","158,583","155,342","141,928","147,860","150,386",,,,,,,,,
Other unitised freight:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Import/export vehicles,434 ,628 ,827 ,887 ,737 ,883 ,"1,125 ","1,361 ","1,448 ","1,678 ","1,334 ","1,198 ",,"1,490","1,672","1,631","1,747","1,748","1,850","2,116",,,"2,207","2,496","2,258","2,350","2,240","2,424","2,770","2,896","3,268","3,503","3,812","3,965","4,083","4,023","4,693","4,839","5,268",,"5,400","5,566","5,932","5,144","4,004","4,708","5,288",,,,,,,,,
     Other units,744 ,722 ,786 ,"1,477 ","1,645 ","1,158 ","1,641 ","1,620 ","1,821 ","1,625 ","1,441 ","1,551 ",,"1,185","1,182","1,197","1,322","1,276","1,425","1,337",,,"1,337","1,096","1,111",880,982,935,"1,394","1,093","1,006","1,050",992,942,"1,646","1,849","1,437","1,497","1,433",,"1,513","1,803","1,641","1,463","1,167","1,172",367,,,,,,,,,
All freight units,"16,893 ","19,307 ","22,460 ","28,456 ","30,640 ","29,082 ","32,669 ","35,502 ","39,299 ","41,778 ","41,738 ","42,909 ",,"45,587","49,931","53,796","56,905","59,351","65,136","72,105",,,"78,801","85,272","86,619","88,197","94,129","99,409","108,357","113,387","115,058","128,935","132,115","136,827","137,768","135,915","138,565","139,374","149,669",,"154,381","158,949","166,156","161,948","147,099","153,740","156,041",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1  Includes estimates for traffic at minor ports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2  Containers carried on Ro-Ro vessels by shipborne port-to-port trailer are classified to  'rail wagons, shipborne port-to-port trailers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    and barges' or 'Lo-Lo  and conventional services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3  In 2005 more accurate recording of container/shipborne port-to-port trailer movements meant that the 2005 figures were not directly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    comparable with earlier years. It is estimated that approximately 300,000 container units, which in earlier years  would have been ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    reported as containers, were reported under  'rail wagons, shipborne port-to-port trailers and barges' in 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Please see Section 2 of  the Technical Note for more details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information on methodology and quality can be found in the Technical Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/ports-statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: DfT Port Statistics,,,,,,,,,
Telephone: 020 7944 4131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last updated:  20 September 2012,,,,,,,,,
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Next update: September 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
