Department for Transport statistics,,,,,,,,,,
Bus Statistics (www.gov.uk/government/organisations/department-for-transport/series/bus-statistics),,,,,,,,,,
Table BUS0405b (historic data3),,,,,,,,,,
"Local bus fares index (at 2011/12 prices2) by metropolitan area status and country: Great Britain, 1974-1995/96",,,,,,,,,,
,,,,,,,1995 average =100,,,
Year1,London,English metropolitan areas,English non-metropolitan areas,England,Scotland,Wales,Great Britain,,,
1974,..  ,..  ,..  ,..  ,..  ,..,63.5,,,
1975,..  ,..  ,..  ,..  ,..  ,..,71.2,,,
1976,..  ,..  ,..  ,..  ,..  ,..,74.6,,,
1977,..  ,..  ,..  ,..  ,..  ,..,71.5,,,
1978,..  ,..  ,..  ,..  ,..  ,..,74.9,,,
1979,..  ,..  ,..  ,..  ,..  ,..,76.5,,,
1980,80.1,..  ,..  ,..  ,..  ,..,81.7,,,
1981,75.8,..  ,..  ,..  ,..  ,..,81.5,,,
1982,85.4,76.1,87.8,83.7,99.7,..,85.6,,,
1983,83.1,74.2,90.1,84.3,101.2,..,86.4,,,
1984,72.3,70.0,91.4,80.9,100.0,..,84.0,,,
1985/86,75.7,67.1,92.0,81.1,96.2,..,83.3,,,
1986/87,77.0,81.4,92.9,86.6,95.5,..,88.0,,,
1987/88,77.6,85.0,93.8,88.3,95.4,..,89.3,,,
1988/89,83.2,87.4,95.4,90.8,95.9,..,91.5,,,
1989/90,85.0,87.7,95.8,91.3,93.5,..,91.7,,,
1990/91,86.8,90.2,97.7,93.2,93.1,..,93.3,,,
1991/92,87.8,93.1,97.2,93.8,92.6,..,93.8,,,
1992/93,90.9,95.6,97.5,95.3,95.2,97.5,95.4,,,
1993/94,96.3,98.4,98.6,97.9,96.7,99.3,97.8,,,
1994/95,99.6,99.8,100.4,100.1,100.3,100.8,100.1,,,
1995/96,101.1,101.5,101.1,101.2,100.8,100.7,101.2,,,
1 Index as at March.,,,,,,,,,,
"2 Adjusted for inflation using the Retail Prices Index, with March 2012 as 100.",,,,,,,,,,
3 The figures in this table show historic data.  They are shown separately from figures for recent years as they were compiled differently.,,,,,,,,,,
"Where a longer time series is required, a break in the series should be shown from 1995.",,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,"Source: DfT Fares Survey, ONS Retail Prices Index"
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,Last updated: 20 September 2012
Bus Statistics - Notes & Definitions,,,,,,,Next update: N/A
The figures in this table are National Statistics,,,,,,,







,,,,,,,





,,,,,,,,
