Department for Transport statistics,,,,,,,,,,,,,,,,,
Bus Statistics (www.gov.uk/government/organisations/department-for-transport/series/bus-statistics),,,,,,,,,,,,,,,,,
Table BUS0405a,,,,,,,,,,,,,,,,,
"Local bus fares index (at current prices2) by metropolitan area status and country: Great Britain, annual from 1995",,,,,,,,,,,,,,,,,
,,,,,,,,,March 2005=100,,,,,,,,
,,,Local bus fares index,,,,,,,,,,,,,,
Year1,,All items Retail Prices Index,London,English metropolitan areas,English non-metropolitan areas,England,Scotland,Wales,Great Britain,,England outside London,,,,,,
1995,R,77.4,71.1,61.8,61.8,63.9,70.2,63.5,64.6,,63.1,,,,,,
1996,R,79.5,74.3,65.2,64.7,67.0,72.4,64.5,67.6,,66.0,,,,,,
1997,R,81.6,77.0,69.0,67.9,70.2,77.8,67.2,71.1,,69.8,,,,,,
1998,R,84.4,80.0,72.6,71.4,73.6,84.1,71.8,74.9,,73.7,,,,,,
1999,R,86.1,83.3,75.8,74.9,77.0,87.5,75.3,78.3,,77.2,,,,,,
2000,R,88.4,83.2,79.1,78.4,79.6,89.6,80.3,80.9,,80.5,,,,,,
2001,R,90.4,83.9,83.3,82.7,82.9,92.2,84.7,84.1,,84.4,,,,,,
2002,R,91.6,81.5,87.3,86.6,85.3,93.5,88.6,86.4,,87.9,,,,,,
2003,R,94.4,81.8,90.3,90.8,88.0,96.1,91.6,89.2,,91.5,,,,,,
2004,R,96.9,86.9,94.7,95.3,92.7,97.1,95.8,93.4,,95.4,,,,,,
2005,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,,,
2006,,102.4,105.7,111.9,107.8,108.3,105.1,105.0,107.9,,109.6,,,,,,
2007,,107.3,116.6,113.6,102.0,110.2,111.4,111.5,110.4,,106.9,,,,,,
2008,,111.3,111.2,121.6,106.7,112.8,116.7,117.5,113.4,,113.0,,,,,,
2009,,110.9,120.0,136.5,113.9,122.5,126.5,125.3,123.1,,123.2,,,,,,
2010,,115.9,135.2,137.6,115.6,128.8,129.5,128.7,129.0,,124.7,,,,,,
2011,,122.0,144.5,146.4,119.4,135.7,132.2,130.1,135.2,,130.3,,,,,,
2012,,126.4,152.3,156.2,127.0,144.0,139.1,137.8,143.4,,138.9,,,,,,
1 Index as at March.,,,,,,,,,,,,,,,,,
2 Not adjusted for inflation.,,,,,,,,,,,,,,,,,
"R Previously published figures for England (total), Wales and Scotland have been revised to correct a calculation error.",,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,"Source: DfT Fares Survey, Office for National Statistics",,,,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,Last updated: 20 September 2012 (corrected November 2012),,,,,,,,
Bus Statistics - Notes & Definitions,,,,,,,,,Next update: Autumn 2013,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,







,,,,,,,,,,





,,,,,,,,,,
