Department for Transport statistics,,,,,,,,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,,,,,,,,
Table LRT0202,,,,,,,,,,,,,,,,
Passenger carriages or tram cars on light rail and trams by system1: England annual from 1983/84,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Financial year,,Docklands Light Railway,Croydon Tramlink,Nottingham Express Transit,Midland Metro,Sheffield Supertram ,Tyne and Wear Metro,Manchester Metrolink,Blackpool Tramway,England,,,,,,
1983/84,,.,.,.,.,.,88,.,75,163,,,,,,
1984/85,,.,.,.,.,.,88,.,75,163,,,,,,
1985/86,,.,.,.,.,.,88,.,75,163,,,,,,
1986/87,,.,.,.,.,.,88,.,75,163,,,,,,
1987/88,,.,.,.,.,.,90,.,76,166,,,,,,
1988/89,,11,.,.,.,.,90,.,79,180,,,,,,
1989/90,,11,.,.,.,.,90,.,79,180,,,,,,
1990/91,,21,.,.,.,.,90,.,81,192,,,,,,
1991/92,,40,.,.,.,.,90,.,79,209,,,,,,
1992/93,,38,.,.,.,.,90,26,81,235,,,,,,
1993/94,,86,.,.,.,.,90,26,81,283,,,,,,,,,,
1994/95,,86,.,.,.,25,90,26,81,308,,,,,,,,,,
1995/96,,70,.,.,.,25,90,26,76,287,,,,,,,,,,
1996/97,,70,.,.,.,25,90,26,76,287,,,,,,,,,,
1997/98,,70,.,.,.,25,90,26,76,287,,,,,,,,,,
1998/99,,70,.,.,.,25,90,26,76,287,,,,,,,,,,
1999/00,,70,.,.,16,25,90,32,75,308,,,,,,,,,,
2000/01,,79,24,.,16,25,90,32,81,347,,,,,,,,,,
2001/02,,74,24,.,16,25,90,32,75,336,,,,,,,,,,
2002/03,,94,24,.,16,25,90,32,76,357,,,,,,,,,,
2003/04,,94,24,15,16,25,90,32,76,372,,,,,,,,,,
2004/05,,94,24,15,16,25,90,32,76,372,,,,,,,,,,
2005/06,,94,24,15,16,25,90,32,76,372, ,,,,,,,,,
2006/07,,94,24,15,16,25,90,32,75,371,,,,,,,,,,
2007/08,,94,24,15,16,25,90,32,74,370,,,,,,,,,,
2008/09,,110,24,15,16,25,90,32,73,385,,,,,,,,,,
2009/10,,149,24,15,16,25,90,44,73,436,,,,,,,,,,
2010/11,,149,24,15,16,25,90,47,31,397,,,,,,,,,,
2011/12,,149,24,15,16,25,90,56,31,406,,,,,,,,,,
"1 For further information on these systems including infrastructure changes that may affect the figures, please refer to the technical information. ",,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,Source: DfT Light Rail and Tram Survey,,,,,,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,Last updated:  19 July 2012,,,,,,,,,,
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,,,,Next update: Summer 2013,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,
