Department for Transport Statistics,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,
,,,,,,,,,,,,
Table RAI0108 (alternative number TSGB0608),,,,,,,,,,,,
"Channel Tunnel: traffic to and from Europe, annual from 2000",,,,,,,,,,,,
,,,,,,,,,,,,Thousands
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Vehicles carried on Le Shuttle:1,,,,,,,,,,,,
    Passenger vehicles,"2,864","2,605","2,408","2,351","2,165","2,124","2,089","2,207","1,963","1,971","2,182","2,319"
    Freight vehicles,"1,133","1,198","1,231","1,285","1,281","1,309","1,296","1,415","1,254",769,"1,089","1,263"
    All vehicles,"3,997","3,803","3,639","3,636","3,446","3,433","3,385","3,622","3,218","2,740","3,271","3,582"
Passengers on Eurostar2 and Le Shuttle3,"17,018","16,313","15,252","14,699","15,064","15,527","15,501","16,164","16,102","16,128","17,044","17,248"
Through-train freight tonnes4,"2,947","2,447","1,487","1,743","1,889","1,588","1,569","1,214","1,239","1,181","1,128","1,325"
1. Includes commercial and non-commercial traffic (see Notes and Definitions).,,,,,,,,,,,,
2. Only Eurostar passengers travelling through the Channel Tunnel are included; journeys betweens Paris-Calais and Brussels-Lille are excluded.,,,,,,,,,,,,
3. Le Shuttle passenger numbers exclude non-commercial traffic.,,,,,,,,,,,,
"4. Rail freight services by train operators (DB Schenker on behalf of BRB, the SNCF and its subsidiaries, and Europorte) using the Tunnel.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,,"Sources: Eurotunnel, Eurostar and EWS International/DB Schenker"
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,

,,,,,,,,,,,,
,,,,,,,,,,,,
