Department for Transport Statistics,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,
,,,,,,,,,,,,
Table RAI0103 (alternative number TSGB0603),,,,,,,,,,,,
Passenger kilometres and timetabled train kilometres on national railways: annual from 2000/01,,,,,,,,,,,,
,,,,,,,,,,,,
(a) Passenger kilometres1,,,,,,,,,,,,Billions
,2000/01,2001/02,2002/03,2003/042,2004/05,2005/06,2006/07,2007/082,2008/09,2009/10,2010/11,2011/12P
All franchised operators: ,,,,,,,,,,,,
    Ordinary fare,27.2,28.1,28.4,28.9,29.3,29.9,32.9,33.8,35.1,36.4,38.7,41.0
    Season ticket,10.9,11.0,11.3,12.0,12.4,13.2,13.3,15.1,15.5,14.7,15.3,15.9
    All tickets,38.2,39.1,39.7,40.9,41.7,43.1,46.2,48.9,50.6,51.1,54.1,56.9
,,,,,,,,,,,,
(b) Timetabled train kilometres3,,,,,,,,,,,,Millions
All franchised and non-franchised operators,427.2,435.9,443.3,448.4,450.4,459.5,464.0,469.7,480.0,500.0,509.1,517.7
1. Estimates of passenger kilometres are derived from ticket sales.,,,,,,,,,,,,
2. Break in series due to change in methodology (see Notes and Definitions).,,,,,,,,,,,,
3. The number of kilometres each train company would achieve according to the winter and summer train timetable if they were operating at full capacity.,,,,,,,,,,,,
P. 2011/12 passenger kilometres are provisional.,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,,Source: Office of Rail Regulation
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,
,,,,,,,,,,,,

,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

















,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12 (p)
