Table tsgb0517   ,,,,,,,,,,,,,,,,,,,,
Marine accident fatalities and injuries reported: 1999-2011,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Number,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,
"(a) United Kingdom registered merchant vessels of 100 gross tons and over, any location",,,,,,,,,,,,,,,,,,,,
"Deaths of passengers, crew members and others by cause",,,,,,,,,,,,,,,,,,,,
Deaths from accidents to vessels,0,0,0,1,0,0,1,1,3,1,0,0,1,,,,,,,
Deaths from accidents on board,2,2,1,5,1,3,1,3,9,5,3,7,4,,,,,,,
Deaths from persons overboard,3,2,4,0,2,1,2,2,0,2,4,0,1,,,,,,,
Total,5,4,5,6,3,4,4,6,12,8,7,7,6,,,,,,,
Deaths and injuries to passengers by type of injury,,,,,,,,,,,,,,,,,,,,
Deaths ,1,1,1,0,0,0,1,1,0,2,1,2,1,,,,,,,
Fractures,66,88,111,109,138,115,79,82,79,90,74,71,84,,,,,,,
Other injuries,13,48,26,24,48,32,29,31,27,78,40,20,24,,,,,,,
Total,80,137,138,133,186,147,109,114,106,170,115,93,109,,,,,,,
Deaths and injuries to crew members by type of injury,,,,,,,,,,,,,,,,,,,,
Deaths,4,3,3,5,3,4,2,3,12,5,6,3,5,,,,,,
Fractures,62,66,71,80,81,68,61,57,65,57,50,57,49,,,,,,
Other injuries,223,233,222,219,205,237,183,171,166,162,143,163,128,,,,,,
Total,289,302,296,304,289,309,246,231,243,224,199,223,182,,,,,,
"Deaths and injuries to others (e.g. pilots, surveyors)",,,,,,,,,,,,,,,,,,,
Deaths,0,0,1,1,0,0,1,2,0,1,0,2,0,,,,,,
Fractures,1,4,0,1,1,1,3,4,2,2,2,5,3,,,,,,
Other injuries,7,6,5,3,4,3,2,2,3,6,4,6,4,,,,,,
Total,8,10,6,5,5,4,6,8,5,9,6,13,7,,,,,,
"(b) Deaths of passengers, crew members and others, any vessels in UK waters1",,,,,,,,,,,,,,,,,,,
By location,,,,,,,,,,,,,,,,,,,
Coastal waters,18,9,8,16,19,14,25,31,35,15,16,13,23,,,,,,
Port/harbour area,11,11,4,9,5,4,7,6,5,10,6,7,9,,,,,,
River/canal,4,3,5,2,4,1,4,13,12,7,6,7,11,,,,,,
Non-tidal waters,1,0,2,4,0,0,5,2,11,1,9,0,3,,,,,,
Total,34,23,19,31,28,19,41,52,63,33,37,27,46,,,,,,
By vessel type,,,,,,,,,,,,,,,,,,,
UK merchant vessel 100gt & over,5,1,2,3,2,1,2,1,5,2,3,0,4,,,,,,
UK merchant vessel under100gt,2,1,3,2,4,3,2,6,5,1,1,3,6,,,,,,
UK fishing vessel,6,7,6,8,9,9,6,12,5,7,11,5,6,,,,,,
UK pleasure craft (non-commercial)2,11,4,3,8,10,3,23,26,46,19,20,16,22,,,,,,
UK other (non-commercial),0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
Non UK merchant vessel 100gt & over,6,8,5,5,2,2,4,5,0,4,0,3,8,,,,,,
Non UK other,4,2,0,5,1,1,4,2,1,0,2,0,0,,,,,,
Total,34,23,19,31,28,19,41,52,63,33,37,27,46,,,,,,
"Deaths of passengers, crew members and others by cause",,,,,,,,,,,,,,,,,,,
Deaths from accidents to vessels,17,6,3,11,15,10,21,17,30,8,14,5,14,,,,,,
Deaths from accidents on board,9,9,6,7,5,3,5,9,9,6,4,3,8,,,,,,
Deaths from persons overboard,8,8,10,13,8,6,15,26,24,19,19,19,24,,,,,,
Total,34,23,19,31,28,19,41,52,63,33,37,27,46,,,,,,
,,,,,,,,,,,,,,,,,,,
"1  Marine accidents recorded by the MAIB. The requirement on vessels to report accidents to the MAIB varies by vessel type and location (see Notes). However, the MAIB will record",,,,,,,,,,,,,,,,,,,
"    details of, and may investigate, significant accidents of which they are notified by bodies such as the Coastguard.",,,,,,,,,,,,,
2  A special exercise in 2005-2007 to research pleasure craft deaths resulted in higher recording of deaths.,,,,,,,,,,,,,
,,,,,,,,,,,,,"Source: Maritime Accidents Investigation Branch (MAIB), DfT"
Telephone: 023 8039 5500,,,,,,,,,,,,,
Email: maib@dft.gsi.gov.uk,,,,,,,,,,,,,Last updated: October 2012
,,,,,,,,,,,,,Next update: November 2013
The figures in this table are outside the scope of  National Statistics.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,
