Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,,,,,,,,,
Table port0106,,,,,,,,,,,,,,,,,,,,
All UK major port freight traffic by cargo type and direction: 1994 - 2011,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,         Thousand tonnes,
,1994,1995,1996,1997,1998,1999,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
(a) All traffic,,,,,,,,,,,,,,,,,,,,
Liquid bulk,,,,,,,,,,,,,,,,,,,,
    All liquid bulk traffic,..,..,..,..,..,..,,"160,409","146,106","145,466","136,472","134,898","130,688","116,977","119,496","113,359","105,881","101,731","94,225"
Dry bulk,,,,,,,,,,,,,,,,,,,
    Ores,..,..,..,..,..,..,,179,481,601,600,559,405,538,702,"1,030","3,595","5,401","5,176"
    Coal,..,..,..,..,..,..,,"2,588","2,700","2,429","2,442","2,408","3,167","2,953","2,376","2,768","2,007","3,167","2,871"
    Agricultural products,..,..,..,..,..,..,,"5,172","3,094","3,435","5,613","3,780","4,340","3,630","3,135","3,950","4,209","5,557","4,561"
    Other dry bulk,..,..,..,..,..,..,,"14,399","14,247","14,970","15,864","15,179","14,568","15,705","15,956","14,625","10,050","10,899","11,839"
    All dry bulk traffic,..,..,..,..,..,..,,"22,338","20,522","21,435","24,519","21,927","22,479","22,825","22,169","22,374","19,860","25,025","24,447"
All bulk traffic,,,,,,,,,,,,,,,,,,,
    Bulk fuels1,..,..,..,..,..,..,,"157,459","143,242","143,294","134,107","131,955","128,336","114,510","116,064","110,814","101,662","99,042","91,460"
    Other bulks1,..,..,..,..,..,..,,"25,288","23,386","23,607","26,884","24,870","24,830","25,292","25,601","24,919","24,079","27,714","27,211"
    All bulk traffic,..,..,..,..,..,..,,"182,747","166,628","166,901","160,990","156,825","153,167","139,802","141,665","135,733","125,741","126,756","118,672"
Container and roll-on/roll-off traffic,,,,,,,,,,,,,,,,,,,
"    Container traffic 2,3",..,..,..,..,..,..,,"22,577","22,186","21,487","21,645","22,796","22,359","22,261","23,986","23,968","22,789","23,599","23,964"
"    Roll-on/roll-off traffic 2,3",..,..,..,..,..,..,,"37,929","35,753","36,440","36,350","38,765","41,485","43,204","43,808","42,852","38,585","39,566","40,238"
    All container and ro-ro,..,..,..,..,..,..,,"60,506","57,939","57,927","57,995","61,561","63,844","65,465","67,795","66,820","61,374","63,165","64,202"
Other general cargo,,,,,,,,,,,,,,,,,,,
    Forestry products,..,..,..,..,..,..,,256,266,313,382,454,590,440,553,408,113,246,265
    Iron and steel products,..,..,..,..,..,..,,"4,083","3,849","3,509","3,530","3,735","4,798","4,712","5,550","4,472","3,281","1,869","1,872"
    General cargo  & containers <20',..,..,..,..,..,..,,"1,981","2,679","2,522","2,540","2,444","2,959","2,879","2,818","2,984","2,494","2,034","2,283"
    All other general cargo traffic,..,..,..,..,..,..,,"6,320","6,793","6,344","6,451","6,633","8,347","8,032","8,921","7,864","5,889","4,149","4,420"
All outwards traffic,..,..,..,..,..,..,,"249,573","231,360","231,173","225,436","225,019","225,357","213,299","218,380","210,417","193,005","194,070","187,294"
,,,,,,,,,,,,,,,,,,,
1 Dry bulk oil products included in other bulks,,,,,,,,,,,,,,,,,,,
2 Containers carried on by shipborne port to port trailers included in Roll-on/Roll-off traffic,,,,,,,,,,,,,,,,,,,
3 Figures after 2004 are not directly comparable with earlier years. Please see Section 2 of the Technical Note (link below) for details.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Information on methodology and quality can be found in the Technical Note:,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/ports-statistics,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Source: DfT Port Statistics
Telephone: 020 7944 4131,,,,,,,,,,,,,,,,,,,Last updated: 20  September 2012
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,Next update: September 2013
,,,,,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
